census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2021,2530,616160,616160,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Kensington,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,The Quiet Man Irish Pub,4520,"Pubs, Taverns and Bars",Seats - Indoor,85,144.93237,-37.78861,"{'lon': 144.93237, 'lat': -37.78861}"
2021,2540,617955,617955,25-77 Stubbs Street KENSINGTON VIC 3031,Kensington,61 Stubbs Street KENSINGTON VIC 3031,Cheeky Brothers,4511,Cafes and Restaurants,Seats - Outdoor,8,144.93592,-37.79107,"{'lon': 144.93592, 'lat': -37.79107}"
2021,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,173 Rankins Road KENSINGTON VIC 3031,Luncheonette Cafe,4511,Cafes and Restaurants,Seats - Indoor,12,144.93111,-37.79436,"{'lon': 144.93111, 'lat': -37.79436}"
2021,503,612530,109449,90-114 Bakehouse Road KENSINGTON VIC 3031,Kensington,100 McClure Road KENSINGTON VIC 3031,Kensington Canteen,4511,Cafes and Restaurants,Seats - Outdoor,12,144.9299,-37.7996,"{'lon': 144.9299, 'lat': -37.7996}"
2021,503,612530,109449,90-114 Bakehouse Road KENSINGTON VIC 3031,Kensington,100 McClure Road KENSINGTON VIC 3031,Kensington Canteen,4511,Cafes and Restaurants,Seats - Indoor,30,144.9299,-37.7996,"{'lon': 144.9299, 'lat': -37.7996}"
2021,513,597960,597960,429-431 Macaulay Road KENSINGTON VIC 3031,Kensington,431 Macaulay Road KENSINGTON VIC 3031,Saha Thai Cafe,4512,Takeaway Food Services,Seats - Indoor,12,144.93249,-37.79496,"{'lon': 144.93249, 'lat': -37.79496}"
2021,524,106320,106320,497 Macaulay Road KENSINGTON VIC 3031,Kensington,497 Macaulay Road KENSINGTON VIC 3031,Hatchd Chicken,4512,Takeaway Food Services,Seats - Indoor,12,144.92951,-37.79456,"{'lon': 144.92951, 'lat': -37.79456}"
2021,524,106321,106321,499 Macaulay Road KENSINGTON VIC 3031,Kensington,499 MacAulay Road KENSINGTON VIC 3031,Grounded House,4511,Cafes and Restaurants,Seats - Outdoor,4,144.92946,-37.79458,"{'lon': 144.92946, 'lat': -37.79458}"
2021,524,106322,106322,501-503 Macaulay Road KENSINGTON VIC 3031,Kensington,501 MacAulay Road KENSINGTON VIC 3031,Clay Oven Pizza,4512,Takeaway Food Services,Seats - Outdoor,12,144.92935,-37.79452,"{'lon': 144.92935, 'lat': -37.79452}"
2021,571,602256,602256,Showgrounds Village 320-386 Epsom Road FLEMINGTON VIC 3031,Kensington,"Shop 16, 320-380 Epsom Road FLEMINGTON VIC 3031",Rye Cafe,4511,Cafes and Restaurants,Seats - Indoor,30,144.91512,-37.78227,"{'lon': 144.91512, 'lat': -37.78227}"
