Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($)
3583,"229B Somerville Road, 
YARRAVILLE VIC 3013",YARRAVILLE,300.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,1627.0
3584,"2/3 Sarton Road, 
CLAYTON VIC 3168",CLAYTON,305.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
3585,"1/108 (Room 8) Wellington Road, 
CLAYTON VIC 3168",CLAYTON,320.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
3586,"2/52 Childers Street, 
CRANBOURNE VIC 3977",CRANBOURNE,320.0,122174.0,12938.599999999999,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,7201.0
3587,"2004/50 Haig Street, 
SOUTHBANK VIC 3006",SOUTHBANK,515.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
3588,"805/1 Balston Street, 
SOUTHBANK VIC 3006",SOUTHBANK,515.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
3589,"3 Banksia Grove, 
TULLAMARINE VIC 3043",TULLAMARINE,515.0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,935.0
3590,"44 Carissa Road, 
BROOKFIELD VIC 3338",BROOKFIELD,517.0,9939.0,929.5,32.9,6174.0,0.0,0.0,65.0,35.0,6.0,32.0,6.0,7.0,3.0,6.0,2957.0,385.0,0.0,350.0,805.0,45.0,142.0,897.0
3591,"806/251 Johnston Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,520.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0
3592,"409/631 Victoria Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,520.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0
3593,"D201/18 Grosvenor Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,520.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0
3594,"30 Central Avenue, 
ALTONA MEADOWS VIC 3028",ALTONA MEADOWS,520.0,18665.0,1770.6,40.9,12311.0,0.0,0.0,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,992.0
3595,"1/210 Merton Street, 
ALTONA MEADOWS VIC 3028",ALTONA MEADOWS,520.0,18665.0,1770.6,40.9,12311.0,0.0,0.0,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,992.0
3596,"2/12 Brennan Court, 
ALTONA MEADOWS VIC 3028",ALTONA MEADOWS,520.0,18665.0,1770.6,40.9,12311.0,0.0,0.0,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,992.0
3597,"18/102-106 St Georges Road, 
PRESTON VIC 3072",PRESTON,350.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
3598,"1/32 Drysdale Street, 
RESERVOIR VIC 3073",RESERVOIR,350.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
3599,"4/67 King William Street, 
RESERVOIR VIC 3073",RESERVOIR,350.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
3600,"22/160 Coppin St, 
RICHMOND VIC 3121",RICHMOND,350.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
3601,"4/81 Edinburgh St, 
RICHMOND VIC 3121",RICHMOND,350.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
3602,"4/14 Tivoli Rd, 
SOUTH YARRA VIC 3141",SOUTH YARRA,350.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
3603,"12/31 Howitt Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,350.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
3604,"10/3 Arthur Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,350.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
3605,"2/1 John Street, 
ST ALBANS VIC 3021",ST ALBANS,350.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,1371.0
3606,"16/4 Wando Grove, 
ST KILDA VIC 3182",ST KILDA,350.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
3607,"55/6-16 Anderson Road, 
SUNBURY VIC 3429",SUNBURY,350.0,40147.0,768.7,113.30000000000001,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,3385.0
3608,"15 Omega Street, 
SUNSHINE VIC 3020",SUNSHINE,350.0,40518.0,4987.5,110.19999999999999,27212.0,0.0,0.0,109.0,172.0,92.0,244.0,28.0,165.0,21.0,56.0,12057.0,2463.0,832.0,1027.0,4229.0,430.0,1304.0,2572.0
3609,"3/165 Kent Street, 
ASCOT VALE VIC 3032",ASCOT VALE,460.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,1468.0
3610,"3/8 Lord Place, 
BRAYBROOK VIC 3019",BRAYBROOK,460.0,19361.0,2586.9,34.1,14063.0,0.0,0.0,101.0,91.0,43.0,105.0,30.0,93.0,0.0,77.0,3748.0,3404.0,799.0,350.0,3131.0,182.0,675.0,1009.0
3611,"202/81 Asling Street, 
BRIGHTON VIC 3186",BRIGHTON,460.0,39748.0,5788.0,92.0,23818.0,0.0,0.0,32.0,588.0,514.0,206.0,116.0,186.0,6.0,360.0,10160.0,3920.0,2609.0,1202.0,3251.0,28.0,665.0,3406.0
3612,"5/160 Sydney Road, 
BRUNSWICK VIC 3056",BRUNSWICK,460.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
3613,"5/27 Stewart Street, 
BRUNSWICK VIC 3056",BRUNSWICK,460.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
3614,"256 Station Road, 
CAIRNLEA VIC 3023",CAIRNLEA,480.0,10144.0,2302.3,36.4,7139.0,0.0,0.0,9.0,46.0,18.0,22.0,9.0,43.0,0.0,3.0,2602.0,235.0,173.0,400.0,420.0,58.0,216.0,1024.0
3615,"6/7 Judd Street, 
CARNEGIE VIC 3163",CARNEGIE,460.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0
3616,"6/13 Greville Street, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,460.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,1133.0
3617,"12 Barringo Way, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,460.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,1133.0
3618,"213/9 Commercial Road, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,460.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,1133.0
3619,"3/21 Grnja Way, 
CARRUM DOWNS VIC 3201",CARRUM DOWNS,480.0,22262.0,1096.2,36.4,15043.0,0.0,0.0,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,1022.0
3620,"32 Pearson Road, 
MERNDA VIC 3754",MERNDA,460.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,2185.0
3621,"2/82 Park Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,460.0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,1456.0
3622,"13/488-490 Neerim Road, 
MURRUMBEENA VIC 3163",MURRUMBEENA,460.0,9471.0,3766.1,37.8,6581.0,0.0,0.0,16.0,57.0,56.0,44.0,13.0,38.0,3.0,19.0,1970.0,1105.0,1185.0,390.0,1321.0,36.0,400.0,1361.0
3623,"6 Buckley Street, 
POINT COOK VIC 3030",POINT COOK,460.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,5143.0
3624,"2/83 Dunnings Road, 
POINT COOK VIC 3030",POINT COOK,460.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,5143.0
3625,"126/388 Murray Road, 
PRESTON VIC 3072",PRESTON,460.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
3626,"107/154 Ferguson Street, 
WILLIAMSTOWN VIC 3016",WILLIAMSTOWN,450.0,16074.0,2188.0,45.0,10333.0,0.0,0.0,38.0,156.0,107.0,65.0,42.0,106.0,3.0,75.0,3629.0,2228.0,1183.0,450.0,1561.0,13.0,340.0,1508.0
3627,"5c Kanangra Terrace, 
WOLLERT VIC 3750",WOLLERT,450.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,1045.0
3628,"20 Fatham Dr, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,450.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,2036.0
3629,"6 Kirsten Street, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,450.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,2036.0
3630,"10 Tyalla Street, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,450.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,2036.0
3631,"101 Greens Road, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,450.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,2036.0
3632,"2 Empress Street, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,450.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,2036.0
3633,"8/93 Frawley Road, 
HALLAM VIC 3803",HALLAM,460.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,844.0
3634,"21 Marjoram Close, 
HALLAM VIC 3803",HALLAM,460.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,844.0
3635,"10 Marshall Court, 
HAMPTON PARK VIC 3976",HAMPTON PARK,460.0,13523.0,2639.5,34.1,9188.0,0.0,0.0,61.0,46.0,19.0,76.0,9.0,37.0,4.0,9.0,4209.0,308.0,40.0,350.0,1244.0,73.0,247.0,821.0
3636,"1/246 Hogans road, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,460.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,1866.0
3637,"43/156-158 Bethany Road, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,460.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,1866.0
3638,"4 Nebel Street, 
LALOR VIC 3075",LALOR,460.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,1535.0
3639,"52 Mckimmies Road, 
LALOR VIC 3075",LALOR,460.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,1535.0
3640,"17/210 Cranbourne-Frankston Rd, 
LANGWARRIN VIC 3910",LANGWARRIN,460.0,25248.0,671.1,38.4,16450.0,0.0,0.0,64.0,83.0,48.0,96.0,26.0,32.0,5.0,47.0,8037.0,1431.0,25.0,365.0,1530.0,49.0,151.0,1138.0
3641,"7/9 Harbury Street, 
RESERVOIR VIC 3073",RESERVOIR,450.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
3642,"64 Rathcown Road, 
RESERVOIR VIC 3073",RESERVOIR,450.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
3643,"Rear 785 High Street, 
RESERVOIR VIC 3073",RESERVOIR,450.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
3644,"1/2 Gladstone Street, 
RESERVOIR VIC 3073",RESERVOIR,450.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
3645,"107/36 Regent Street, 
RICHMOND VIC 3121",RICHMOND,450.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
3646,"222/33 Judd Street, 
RICHMOND VIC 3121",RICHMOND,450.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
3647,"406/253 Bridge Road, 
RICHMOND VIC 3121",RICHMOND,450.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
3648,"3 Gerrard Court, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,625.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,2125.0
3649,"54 King Arthur Drive, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,625.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,2125.0
3650,"6 Pentland Court, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,625.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,2125.0
3651,"5/1 Thomas Street, 
HAMPTON VIC 3188",HAMPTON,625.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,1549.0
3652,"14 Sheffield Way, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,625.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,2072.0
3653,"35 Petunia Drive, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,625.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,2072.0
3654,"206/36 Shaftesbury Avenue, 
MALVERN VIC 3144",MALVERN,625.0,22221.0,2936.7,38.2,14931.0,0.0,0.0,25.0,320.0,184.0,122.0,54.0,103.0,0.0,105.0,4789.0,2224.0,2731.0,421.0,2540.0,205.0,746.0,1556.0
3655,"224 Betula Avenue, 
MILL PARK VIC 3082",MILL PARK,625.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,1997.0
3656,"301 Dunns Road, 
MORNINGTON VIC 3931",MORNINGTON,625.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,1932.0
3657,"47 Beddoe Avenue, 
CLAYTON VIC 3168",CLAYTON,330.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
3658,"1/93 Mitchell Street, 
BRUNSWICK VIC 3056",BRUNSWICK,320.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
3659,"2/46 Windsor Crescent, 
BUNDOORA VIC 3083",BUNDOORA,320.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,1870.0
3660,CARNEGIE VIC 3163,CARNEGIE,320.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0
3661,"504/45 Victoria Pde, 
COLLINGWOOD VIC 3066",COLLINGWOOD,320.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0
3662,"212/80 Cheltenham Road, 
DANDENONG VIC 3175",DANDENONG,320.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,2324.0
3663,"9/1 Fuller Street, 
ESSENDON VIC 3040",ESSENDON,320.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,1459.0
3664,"14/23 George Street, 
FITZROY VIC 3065",FITZROY,320.0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,3306.0
3665,"8/61 Flemington St, 
FLEMINGTON VIC 3031",FLEMINGTON,320.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,1183.0
3666,"7/64 Cross Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,320.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,1233.0
3667,"11/130 Wilsons Road, 
MORNINGTON VIC 3931",MORNINGTON,700.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,1932.0
3668,"17/130 Wilsons Road, 
MORNINGTON VIC 3931",MORNINGTON,700.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,1932.0
3669,"30 Brimbrim Crescent, 
MORNINGTON VIC 3931",MORNINGTON,700.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,1932.0
3670,"11 Rosaline Avenue, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,700.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
3671,"11B Montana Avenue, 
MULGRAVE VIC 3170",MULGRAVE,695.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,1065.0
3672,"28 Mason Street, 
NEWPORT VIC 3015",NEWPORT,700.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,1598.0
3673,"47 Harrison Drive, 
NOBLE PARK VIC 3174",NOBLE PARK,700.0,40239.0,9559.5,110.69999999999999,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,2502.0
3674,"24 Scotia Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,700.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
3675,"1/98 Munster Terrace, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,700.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
3676,"6/38-52 Chapman Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,695.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
3677,"21A Victoria Road, 
NORTHCOTE VIC 3070",NORTHCOTE,700.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,3102.0
3678,"5/245 Heildelberg Road, 
NORTHCOTE VIC 3070",NORTHCOTE,700.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,3102.0
3679,"48 Elm Street, 
NORTHCOTE VIC 3070",NORTHCOTE,700.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,3102.0
