Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"5/94-96 Chute Street, 
MORDIALLOC VIC 3195",640.0,3,1,1,1,0,0
"109A Hansworth Street, 
MULGRAVE VIC 3170",640.0,3,2,1,0,0,1
"C706/111 Canning Street, 
NORTH MELBOURNE VIC 3051",640.0,2,1,2,1,0,0
"1/73 Winifred Street, 
OAK PARK VIC 3046",640.0,3,2,1,0,0,1
"4/8 Gregory St, 
OAK PARK VIC 3046",640.0,3,2,1,1,0,0
"50 Queens Avenue, 
OAKLEIGH VIC 3166",640.0,2,1,1,0,1,0
"19 Mcivor Street, 
BROADMEADOWS VIC 3047",490.0,3,1,1,0,1,0
"3/3 Gerbert Street, 
BROADMEADOWS VIC 3047",490.0,2,2,1,0,1,0
"1/20 Walsh Street, 
BROADMEADOWS VIC 3047",490.0,3,2,1,0,0,1
"2/20 Walsh Street, 
BROADMEADOWS VIC 3047",490.0,3,2,2,0,0,1
"215/21 Plenty Road, 
BUNDOORA VIC 3083",490.0,2,2,1,1,0,0
"65 Leichhardt Avenue, 
BURNSIDE HEIGHTS VIC 3023",490.0,3,2,2,0,1,0
"2 Grenville Grove, 
CAPEL SOUND VIC 3940",490.0,3,2,4,0,1,0
"69 Swans Way, 
CAPEL SOUND VIC 3940",490.0,3,1,3,0,1,0
"301/488 SWANSTON STREET, 
CARLTON VIC 3053",490.0,2,1, ,1,0,0
"1002/6 Leicester Street, 
CARLTON VIC 3053",530.0,2,1, ,1,0,0
"4 Studley Park Way, 
CAROLINE SPRINGS VIC 3023",490.0,3,2,2,0,1,0
"1/13 Kalymna Grove, 
CHADSTONE VIC 3148",490.0,2,1,2,0,0,1
"20 Arnold Circuit, 
CHARLEMONT VIC 3217",490.0,3,2,2,0,1,0
"22 Crawford Road, 
CLARINDA VIC 3169",490.0,3,1,2,0,1,0
"26 Yaralla Circuit, 
CLYDE VIC 3978",490.0,3,2,2,0,1,0
"19 Opportunity Circuit, 
CLYDE NORTH VIC 3978",490.0,4,2,2,0,1,0
"7 Mortdale Lane, 
CLYDE NORTH VIC 3978",490.0,2,2,1,0,0,1
"23 Mitta Mitta Street, 
CLYDE NORTH VIC 3978",490.0,3,2,2,0,1,0
"204M/60 Stanley Street, 
COLLINGWOOD VIC 3066",490.0,1,1,1,1,0,0
"74 Grande Belmond Avenue, 
CRANBOURNE EAST VIC 3977",490.0,4,2,2,0,1,0
"7 Plane Court, 
CAMPBELLFIELD VIC 3061",500.0,3,1,2,0,1,0
"10 Rose St, 
CAPEL SOUND VIC 3940",500.0,3,1,2,0,1,0
"511/668 Swanston Street, 
CARLTON VIC 3053",500.0,1,1,1,1,0,0
"2003/551 Swanston Street, 
CARLTON VIC 3053",500.0,1,1, ,1,0,0
"G15/264 Drummond Street, 
CARLTON VIC 3053",500.0,1,1,1,1,0,0
"1213/6 Leicester Street, 
CARLTON VIC 3053",500.0,1,1,2,1,0,0
"308/570 Swanston Street, 
CARLTON VIC 3053",500.0,2,1, ,1,0,0
"807/6 Leicester Street, 
CARLTON VIC 3053",500.0,1,1,2,1,0,0
"2905/551 Swanston Street, 
CARLTON VIC 3053",500.0,1,1, ,1,0,0
"102/518 Swanston Street, 
CARLTON VIC 3053",500.0,1,1, ,0,1,0
"302C/82 Canning Street, 
CARLTON VIC 3053",500.0,1,1,1,1,0,0
"108/106-108 Queensberry Street, 
CARLTON VIC 3053",500.0,1,1,1,1,0,0
"2504/570 Lygon Street, 
CARLTON VIC 3053",500.0,2,1, ,1,0,0
"3/1150 Dandenong Road, 
CARNEGIE VIC 3163",500.0,2,1,1,1,0,0
"4 Kai Close, 
CAROLINE SPRINGS VIC 3023",500.0,2,1,1,0,0,1
"14 Turnstone Court, 
CARRUM DOWNS VIC 3201",500.0,3,2,2,0,1,0
"11/44 Orrong Cres, 
CAULFIELD NORTH VIC 3161",499.0,2,1,1,1,0,0
"102/2 Cedar St, 
CAULFIELD SOUTH VIC 3162",500.0,2,1,1,1,0,0
"6/334-339 Station Street, 
CHELSEA VIC 3196",500.0,2,1,1,1,0,0
"12 Baldwin Street, 
ARMADALE VIC 3143",775.0,2,1, ,0,1,0
"632 Rathdowne Street, 
CARLTON NORTH VIC 3054",775.0,3,1, ,0,1,0
"103/466 Dandenong Road, 
CAULFIELD NORTH VIC 3161",775.0,1,1, ,1,0,0
"103/11 Narong Road, 
CAULFIELD NORTH VIC 3161",775.0,2,2,1,1,0,0
"377 Bambra Road, 
CAULFIELD SOUTH VIC 3162",775.0,3,2,2,0,1,0
"174 Langridge Street, 
COLLINGWOOD VIC 3066",775.0,3,1, ,0,0,1
"7/56 Leicester Street, 
FITZROY VIC 3065",775.0,2,2,2,1,0,0
"8 Nyora Street, 
MALVERN EAST VIC 3145",775.0,4,1, ,0,1,0
"11 Tennyson Street, 
MALVERN EAST VIC 3145",775.0,3,1,1,0,1,0
"1202/568 St Kilda Road, 
MELBOURNE VIC 3004",775.0,2,2,1,1,0,0
"2807/8 Sutherland Street, 
MELBOURNE VIC 3000",775.0,2,2, ,1,0,0
"23A Luntar Road, 
OAKLEIGH SOUTH VIC 3167",775.0,3,2,4,0,1,0
"101 Chomley Street, 
PRAHRAN VIC 3181",775.0,2,1, ,0,1,0
"4/9 Storey Road, 
RESERVOIR VIC 3073",775.0,3,2,2,0,0,1
"14 MacFarlan Street, 
SOUTH YARRA VIC 3141",775.0,2,1,2,0,1,0
"1513/81 City Road, 
SOUTHBANK VIC 3006",775.0,2,2, ,1,0,0
"22 Canterbury Street, 
YARRAVILLE VIC 3013",775.0,3,1, ,0,1,0
"15 Alfred St, 
BALACLAVA VIC 3183",779.0,4,2, ,0,1,0
"52 Clematis Avenue, 
ALTONA NORTH VIC 3025",780.0,4,3,3,0,0,1
"24 Banum Crescent, 
ASCOT VALE VIC 3032",780.0,2,2,1,0,0,1
"134 Bridge Street, 
PORT MELBOURNE VIC 3207",700.0,2,1, ,0,1,0
"206 Heath St, 
PORT MELBOURNE VIC 3207",700.0,2,1, ,0,1,0
"16 Byrne Street, 
PORT MELBOURNE VIC 3207",700.0,3,1,1,0,1,0
