STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
20007,Thomastown Railway Station (Thomastown),-37.680338,145.014279,2,Mernda,POINT (145.01428506228143 -37.68032482008498)
20008,Keon Park Railway Station (Thomastown),-37.69487,145.011884,2,Mernda,POINT (145.01188998111786 -37.69485685001121)
20009,Ruthven Railway Station (Reservoir),-37.707898,145.009517,2,Mernda,POINT (145.0095229801126 -37.70788479992999)
20010,Reservoir Railway Station (Reservoir),-37.716885,145.006996,"1,2",Mernda,POINT (145.0070018995727 -37.716871839813095)
20011,Regent Railway Station (Reservoir),-37.728403,145.002773,"1,2",Mernda,POINT (145.00277909905245 -37.72838985959535)
20012,Preston Railway Station (Preston),-37.738674,145.000522,"1,2",Mernda,POINT (145.00052801832655 -37.73866083950495)
20013,Bell Railway Station (Preston),-37.745562,145.000155,1,Mernda,POINT (145.00016081764193 -37.745548809522596)
20014,Thornbury Railway Station (Thornbury),-37.755052,144.998572,1,Mernda,POINT (144.99857789688502 -37.75503885947312)
20015,Croxton Railway Station (Northcote),-37.764101,144.997056,1,Mernda,POINT (144.9970619361644 -37.76408781942547)
20016,Northcote Railway Station (Northcote),-37.769865,144.995277,1,Mernda,POINT (144.99528281584634 -37.769851869339405)
20017,Merri Railway Station (Northcote),-37.777847,144.992972,1,Mernda,POINT (144.99297809537836 -37.77783387923113)
20019,Rushall Railway Station (Fitzroy North),-37.783217,144.992407,1,Mernda,POINT (144.9924128948927 -37.783203819225754)
20021,Sunshine Railway Station (Sunshine),-37.788536,144.832878,"1,2",Sunbury,POINT (144.8328839619965 -37.78852280838797)
20022,Tottenham Railway Station (West Footscray),-37.799251,144.862945,1,Sunbury,POINT (144.8629507956213 -37.79923785049534)
20023,West Footscray Railway Station (West Footscray),-37.801803,144.883985,1,Sunbury,POINT (144.88399099169231 -37.80178980194152)
20024,Middle Footscray Railway Station (Footscray),-37.802505,144.891472,1,Sunbury,POINT (144.8914779103164 -37.802491802455286)
20025,Footscray Railway Station (Footscray),-37.801083,144.903199,1,"Werribee,Williamstown,Sunbury",POINT (144.9032049084341 -37.80106980324485)
20026,South Kensington Railway Station (Kensington),-37.799531,144.925469,1,"Williamstown,Werribee",POINT (144.92547486473606 -37.79951784475292)
20030,Broadmeadows Railway Station (Broadmeadows),-37.683049,144.919613,2,Craigieburn,POINT (144.9196191183441 -37.68303579363045)
20031,Jacana Railway Station (Glenroy),-37.695131,144.915851,2,Craigieburn,POINT (144.9158571176904 -37.69511784344914)
