Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
3789,"1406/677 La Trobe Street, 
DOCKLANDS VIC 3008",DOCKLANDS,900.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3790,"276A WAVERLEY ROAD, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,900.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,145.137444,37.885806
3791,"402G/93 Dow Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,868.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,,
3792,"501A/72 Ascot Vale Road, 
FLEMINGTON VIC 3031",FLEMINGTON,870.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,,
3793,"17 Waterfront Way, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,870.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.162824,38.005906
3794,"13 Windermere Street, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,870.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.16337,37.999858
3795,"2/107 Addison Street, 
ELWOOD VIC 3184",ELWOOD,875.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.980261,37.879205
3796,"194 Hawdon Street, 
HEIDELBERG VIC 3084",HEIDELBERG,875.0,15038.0,2247.4,35.3,10669.0,0.0,0.0,139.0,118.0,35.0,77.0,18.0,49.0,6.0,77.0,4091.0,2466.0,472.0,353.0,2818.0,208.0,354.0,145.065265,37.752175
3797,"2/115 Albion Street, 
BRUNSWICK VIC 3056",BRUNSWICK,550.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.96255,37.760757
3798,"504/4 Breese Street, 
BRUNSWICK VIC 3056",BRUNSWICK,550.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.961556,37.762471
3799,"64 Cunningham Chase, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,550.0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,144.758971,37.735228
3800,"9 Green Court, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,550.0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,144.752925,37.725835
3801,"29 Clementson Drive, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,550.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,144.737213,37.72608
3802,"3 Meyers Lane, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,550.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,144.745922,37.735018
3803,"507/55 Beach Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,875.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.934746,37.84146
3804,"2/7 Wellington Street, 
RICHMOND VIC 3121",RICHMOND,875.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,,
3805,"811/246 Church St, 
RICHMOND VIC 3121",RICHMOND,875.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,,
3806,"34 Smith St, 
RICHMOND VIC 3121",RICHMOND,875.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,144.994767,37.812665
3807,"1209/35 Malcolm Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,875.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.997744,37.837051
3808,"102/246 Church St, 
RICHMOND VIC 3121",RICHMOND,880.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,,
3809,"3/9 Potter Street, 
DANDENONG VIC 3175",DANDENONG,400.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.205644,37.98468
3810,"2811B/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,400.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3811,"5 Camelia Court, 
DOVETON VIC 3177",DOVETON,400.0,12061.0,2322.3,34.2,8095.0,0.0,0.0,62.0,20.0,11.0,76.0,11.0,27.0,3.0,42.0,3679.0,939.0,15.0,320.0,1679.0,173.0,208.0,,
3812,"5/56 Byron Street, 
ELWOOD VIC 3184",ELWOOD,400.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.98337,37.879024
3813,"unit 5/45 Rufus Street, 
EPPING VIC 3076",EPPING,400.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,,
3814,"11 Chettam Street, 
EPPING VIC 3076",EPPING,400.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,145.039923,37.634708
3815,"5/34 Coulstock Street, 
EPPING VIC 3076",EPPING,400.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,145.029956,37.650166
3816,"12/17 Bulla Road, 
ESSENDON VIC 3040",ESSENDON,400.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,144.908322,37.74138
3817,"7/31 Norwood Street, 
FLEMINGTON VIC 3031",FLEMINGTON,400.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,144.930192,37.787021
3818,"1703/1 Ascot Vale Road, 
FLEMINGTON VIC 3031",FLEMINGTON,400.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,144.921484,37.78718
3819,"2/23-25 Steet Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,400.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.887826,37.789108
3820,"301/40 Buckley Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,400.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.899241,37.80413
3821,"3/6 Eldridge Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,400.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.892888,37.789405
3822,"13/24 Empire Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,400.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.891403,37.789223
3823,"2/19 Foot Street, 
FRANKSTON VIC 3199",FRANKSTON,400.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.132798,38.153233
3824,"204/31 Wellington Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,750.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.98724,37.79971
3825,"308/68 Cambridge Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,750.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.98506,37.807354
3826,"303/10 Stanley Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,750.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.985074,37.802183
3827,"10 Campbell Grove, 
DINGLEY VILLAGE VIC 3172",DINGLEY VILLAGE,750.0,10554.0,1457.0,44.7,6372.0,0.0,0.0,14.0,42.0,26.0,42.0,17.0,25.0,4.0,11.0,3195.0,761.0,0.0,450.0,397.0,16.0,105.0,145.125512,37.980614
3828,"2504/231 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3829,"1813/628 Flinder Street, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3830,"103 South Wharf Drive, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.936281,37.822187
3831,"808/18 Waterview Walk, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.947233,37.819128
3832,"606/81 South Wharf Drive, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3833,"2205/81 South Wharf Drive, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.936281,37.822187
3834,"2302/8 Pearl River Road, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.93564,37.810783
3835,"1212N/889 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3836,"2003/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3837,"607/8 McCrae Street, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.950036,37.822078
3838,"3408/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,750.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.943577,37.813206
3839,"51 Pier Street, 
DROMANA VIC 3936",DROMANA,750.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,144.96569,38.332888
3840,"12 Beavis Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,440.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,145.007561,37.884519
3841,"7/24 Scott Street, 
ELWOOD VIC 3184",ELWOOD,440.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.989589,37.880815
3842,"2B Noble Drive, 
EPPING VIC 3076",EPPING,440.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,145.0291,37.6585
3843,"6/32 Rufus Street, 
EPPING VIC 3076",EPPING,440.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,145.026154,37.64855
3844,"8/75 Droop Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,440.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.897306,37.7969
3845,"2B Hill Street, 
FRANKSTON VIC 3199",FRANKSTON,440.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.139196,38.151135
3846,"6/5 Ogden, 
GLENROY VIC 3046",GLENROY,440.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.948712,37.702249
3847,"48 View Street, 
GLENROY VIC 3046",GLENROY,440.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.928955,37.696257
3848,"41A Isla Avenue, 
GLENROY VIC 3046",GLENROY,440.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.931804,37.702462
3849,"4/7 Lorraine Court, 
HILLSIDE VIC 3037",HILLSIDE,440.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,144.744244,37.703339
3850,"5 Anora Court, 
KEILOR DOWNS VIC 3038",KEILOR DOWNS,440.0,13193.0,1722.4,41.8,8377.0,0.0,0.0,32.0,37.0,35.0,37.0,16.0,45.0,5.0,12.0,4275.0,589.0,54.0,360.0,820.0,40.0,207.0,144.813176,37.724094
3851,"1/19-21 Rankins Road, 
KENSINGTON VIC 3031",KENSINGTON,440.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,144.932095,37.788494
3852,"28 Scott Street, 
SEAFORD VIC 3198",SEAFORD,750.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,145.134107,38.108269
3853,"2A Catron Street, 
SEAFORD VIC 3198",SEAFORD,750.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,145.132033,38.100132
3854,"616/253-273 Normanby Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,750.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
3855,"403/39 Park Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,750.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.96462,37.834397
3856,"306/41 Bank Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,750.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.958523,37.834848
3857,"601/138 Ferrars Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,750.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
3858,"1/18 Arthur Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.994842,37.841841
3859,"3/25 Alexandra Avenue, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,145.004497,37.834657
3860,"1601/3 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.9931,37.835947
3861,"909/2 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
3862,"602/12 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.9931,37.835947
3863,"17 Myrtle Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.989305,37.839171
3864,"804/7 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
3865,"15/9 Darling Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.992045,37.835332
3866,"608/800 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
3867,"1503/681 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,750.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
3868,"12 Ervine Drive, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,480.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,,
3869,"79 Welcome Parade, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,480.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.593676,37.85291
3870,"20 Fitzrovia Drive, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,480.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.595245,37.849135
3871,"417/601 Victoria Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,485.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,,
3872,"302/112-114 Pier Street, 
ALTONA VIC 3018",ALTONA,485.0,28738.0,1704.2,78.8,18016.0,0.0,0.0,102.0,140.0,99.0,124.0,27.0,119.0,9.0,196.0,8125.0,3695.0,818.0,790.0,3440.0,108.0,600.0,,
3873,"4/40-42 Clyde Road, 
BERWICK VIC 3806",BERWICK,485.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,,
3874,"730A Sydney Road, 
BRUNSWICK VIC 3056",BRUNSWICK,485.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.963216,37.760734
3875,"2/104 Broderick Road, 
CARRUM DOWNS VIC 3201",CARRUM DOWNS,485.0,22262.0,1096.2,36.4,15043.0,0.0,0.0,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,145.177272,38.103566
3876,"1 Kumara Place, 
CLAYTON VIC 3168",CLAYTON,485.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.126457,37.914612
3877,"14 Apium Street, 
CLYDE VIC 3978",CLYDE,485.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,145.330045,38.127665
3878,"309/1-11 Moreland Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,575.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,,
3879,"3/247 Hampton Street, 
HAMPTON VIC 3188",HAMPTON,575.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,145.002245,37.938925
3880,"15 Park Road, 
HILLSIDE VIC 3037",HILLSIDE,575.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,144.741797,37.684679
3881,"46 Smith St, 
KENSINGTON VIC 3031",KENSINGTON,575.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,144.933709,37.791803
3882,"85A Buckley Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,575.0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,144.923524,37.75781
3883,"18 Tylden Way, 
TRUGANINA VIC 3029",TRUGANINA,470.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.73801,37.84182
