Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
46,"3/18 Quick Street, 
PASCOE VALE VIC 3044",PASCOE VALE,330.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,144.930847,37.719585
47,"5/90 Roseberry Avenue, 
PRESTON VIC 3072",PRESTON,1434.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,145.005698,37.738988
48,"2/5 Furzer Street, 
PRESTON VIC 3072",PRESTON,330.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,144.9855,37.728087
49,"6/99 Barton Street, 
RESERVOIR VIC 3073",RESERVOIR,330.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.002924,37.711511
50,"8/164 Leamington Street, 
RESERVOIR VIC 3073",RESERVOIR,330.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.004567,37.712754
51,"5/27 Geach Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,370.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,,
52,"110B/1091 Plenty Road, 
BUNDOORA VIC 3083",BUNDOORA,370.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,,
53,"2/34 Tranmere Avenue, 
CARNEGIE VIC 3163",CARNEGIE,370.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.061061,37.890124
54,"4/9 Rosstown Road, 
CARNEGIE VIC 3163",CARNEGIE,370.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.054599,37.88513
55,"1/32 Clarence Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,370.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,145.010162,37.892153
56,"4/11 Downshire Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,370.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,145.007358,37.885659
57,"20/57 Dover Street, 
FLEMINGTON VIC 3031",FLEMINGTON,370.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,144.924118,37.782942
58,"1/37 Heatherhill Road, 
FRANKSTON VIC 3199",FRANKSTON,370.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.157636,38.17124
59,"53 West St, 
GLENROY VIC 3046",GLENROY,370.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.939407,37.700955
60,"38 Vermont Parade, 
GREENSBOROUGH VIC 3088",GREENSBOROUGH,400.0,20997.0,2079.4,41.7,12959.0,0.0,0.0,49.0,110.0,89.0,51.0,30.0,60.0,5.0,31.0,6857.0,1184.0,212.0,400.0,1385.0,41.0,399.0,145.096532,37.706903
61,"5/25-29 Kays Avenue, 
HALLAM VIC 3803",HALLAM,370.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,,
62,"24 Robertson Crescent, 
LAVERTON VIC 3028",LAVERTON,370.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,144.777329,37.848404
63,"39B Hampshire Rd, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,480.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.14608,37.901015
64,"8 Fitzgerald Road, 
HALLAM VIC 3803",HALLAM,480.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,145.278705,38.008348
65,"50 Wattle Valley Drive, 
HILLSIDE VIC 3037",HILLSIDE,500.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,144.739835,37.686284
66,"58 Melfin Drive, 
HILLSIDE VIC 3037",HILLSIDE,480.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,144.746582,37.685193
67,"24 Toulouse Crescent, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,480.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,144.671076,37.854377
68,"6/94 St Elmo Road, 
IVANHOE VIC 3079",IVANHOE,480.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,145.046976,37.758512
69,"4/88 Marshall Street, 
IVANHOE VIC 3079",IVANHOE,480.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,145.047321,37.768492
70,"316/80 Ormond Street, 
KENSINGTON VIC 3031",KENSINGTON,480.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,144.926962,37.79874
71,"506/70 Speakmen Street, 
KENSINGTON VIC 3031",KENSINGTON,480.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,144.916999,37.794339
72,"53 Bundeena Avenue, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,480.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.173082,37.987434
73,"4 Somerset Drive, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,480.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.182755,37.987414
74,"7 Louise Street, 
LALOR VIC 3075",LALOR,480.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,145.028961,37.667669
75,"6/27 Malvern Grove, 
CAULFIELD VIC 3162",CAULFIELD,640.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,145.029248,37.870004
76,"2/101 Point Nepean Road, 
DROMANA VIC 3936",DROMANA,640.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,144.970594,38.329902
77,"2 Lee Street, 
FLEMINGTON VIC 3031",FLEMINGTON,640.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,144.929726,37.783388
78,"8 Derby Street, 
KENSINGTON VIC 3031",KENSINGTON,640.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,144.926401,37.795323
79,"109A Hansworth Street, 
MULGRAVE VIC 3170",MULGRAVE,640.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,145.18811,37.933559
80,"C706/111 Canning Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,640.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,,
81,"1/73 Winifred Street, 
OAK PARK VIC 3046",OAK PARK,640.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,144.91526,37.720832
82,"4/8 Gregory St, 
OAK PARK VIC 3046",OAK PARK,640.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,144.915258,37.722845
