,Address,Suburb,Prices,Type_Apartment,Type_House,Type_Townhouse,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Extracted_Address,latitude,longitude,num_stops,num_stations,num_schools,num_landmarks,distance to CBD,total_transport,Bedroom,Bathroom,Median equivalised total household income (weekly) ($)
2139,"3/141 Park Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,650.0,0,0,1,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,"141 Park Street, 
MOONEE PONDS VIC 3039",-37.760857,144.9092023,0.0,0.0,34.0,0.0,6.9,0.0,3,2,2396.0
2140,"1305/40 Hall Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,650.0,1,0,0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,"40 Hall Street, 
MOONEE PONDS VIC 3039",-37.7657883,144.9205103,0.0,0.0,32.0,0.0,6.0,0.0,2,2,2396.0
2141,"1 David Lane, 
MORNINGTON VIC 3931",MORNINGTON,650.0,0,0,1,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,"1 David Lane, 
MORNINGTON VIC 3931",-38.2201078,145.0421622,0.0,0.0,0.0,0.0,84.5,0.0,3,2,2396.0
2142,"92 Maxwell Street, 
MORNINGTON VIC 3931",MORNINGTON,650.0,0,1,0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,"92 Maxwell Street, 
MORNINGTON VIC 3931",-38.2437108,145.0410627,0.0,0.0,0.0,0.0,86.6,0.0,3,2,2396.0
2143,"22 Rainbow Place, 
MORNINGTON VIC 3931",MORNINGTON,650.0,0,0,1,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,"22 Rainbow Place, 
MORNINGTON VIC 3931",-38.2207787,145.0419533,0.0,0.0,0.0,0.0,84.5,0.0,3,2,2396.0
2144,"198 Coburns Road, 
MELTON VIC 3337",MELTON,390.0,0,1,0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,"198 Coburns Road, 
MELTON VIC 3337",-37.6862,144.5679101,0.0,0.0,0.0,0.0,50.7,0.0,3,2,3905.0
2145,"3/17 Queen Street, 
MORNINGTON VIC 3931",MORNINGTON,390.0,1,0,0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,"17 Queen Street, 
MORNINGTON VIC 3931",-38.2212214,145.0346175,0.0,0.0,0.0,0.0,85.3,0.0,2,1,2396.0
2146,"3/97 Blackshaws Road, 
NEWPORT VIC 3015",NEWPORT,390.0,1,0,0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,"97 Blackshaws Road, 
NEWPORT VIC 3015",-37.8346968,144.8807771,0.0,0.0,17.0,0.0,20.1,0.0,2,1,3905.0
2147,"59 Kent Road, 
PASCOE VALE VIC 3044",PASCOE VALE,390.0,0,1,0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,"59 Kent Road, 
PASCOE VALE VIC 3044",-37.7208918,144.9477643,0.0,0.0,18.0,0.0,9.5,0.0,2,1,1539.0
2148,"4/75 Rowena Parade, 
RICHMOND VIC 3121",RICHMOND,390.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"75 Rowena Parade, 
RICHMOND VIC 3121",-37.8203661,144.9902244,3.0,1.0,35.0,2.0,7.1,4.0,1,1,1539.0
2149,"66 Shane Avenue, 
SEABROOK VIC 3028",SEABROOK,390.0,0,1,0,5002.0,3087.8,37.1,3399.0,0.0,0.0,18.0,11.0,11.0,23.0,8.0,11.0,3.0,3.0,1726.0,58.0,25.0,361.0,326.0,10.0,119.0,"66 Shane Avenue, 
SEABROOK VIC 3028",-37.8749505,144.7580597,0.0,0.0,10.0,0.0,38.8,0.0,3,1,1432.0
2150,"2/136 Austin Road, 
SEAFORD VIC 3198",SEAFORD,390.0,1,0,0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,"136 Austin Road, 
SEAFORD VIC 3198",-38.1071915,145.1474588716319,0.0,0.0,9.0,0.0,62.4,0.0,2,1,1432.0
2151,"5/9-11 Barnsbury Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,390.0,1,0,0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,"9-11 Barnsbury Road, 
SOUTH YARRA VIC 3141",-37.8447207,145.0010030373404,4.0,1.0,31.0,0.0,11.4,5.0,1,1,3023.0
2152,"25 Stradbroke Drive, 
ST ALBANS VIC 3021",ST ALBANS,390.0,0,1,0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,"25 Stradbroke Drive, 
ST ALBANS VIC 3021",-37.7477628,144.8091515,0.0,0.0,20.0,0.0,20.6,0.0,3,1,3385.0
2153,"6/10-12 Horne Street, 
SUNBURY VIC 3429",SUNBURY,390.0,1,0,0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,"10-12 Horne Street, 
SUNBURY VIC 3429",-37.5804145,144.7252035,0.0,1.0,0.0,0.0,38.0,1.0,2,1,2097.0
2154,"17 Saxony Drive, 
EPPING VIC 3076",EPPING,600.0,0,1,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"17 Saxony Drive, 
EPPING VIC 3076",-37.6360325,145.0206828,0.0,0.0,0.0,0.0,32.5,0.0,4,2,2097.0
2155,"25 Camouflage Drive, 
EPPING VIC 3076",EPPING,600.0,0,1,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"25 Camouflage Drive, 
EPPING VIC 3076",-37.6255269,145.005725,0.0,0.0,5.0,0.0,32.3,0.0,4,2,1343.0
2156,"58 Greenfields Drive, 
EPPING VIC 3076",EPPING,600.0,0,1,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"58 Greenfields Drive, 
EPPING VIC 3076",-37.6219638,145.016061,0.0,0.0,6.0,0.0,33.6,0.0,4,2,3406.0
2157,"1 Highgate Hill, 
EPPING VIC 3076",EPPING,600.0,0,1,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"1 Highgate Hill, 
EPPING VIC 3076",-37.6271365,145.0173532,0.0,0.0,8.0,0.0,33.2,0.0,4,2,5812.0
2158,"4/1178 Sydney Road, 
FAWKNER VIC 3060",FAWKNER,600.0,0,0,1,14193.0,2791.3,34.8,8969.0,0.0,0.0,36.0,63.0,14.0,63.0,17.0,47.0,6.0,26.0,4386.0,861.0,25.0,380.0,1410.0,69.0,460.0,"1178 Sydney Road, 
FAWKNER VIC 3060",-37.6926533,144.958468,0.0,0.0,0.0,0.0,21.2,0.0,2,2,5812.0
2159,"3/146 Ascot Vale Road, 
FLEMINGTON VIC 3031",FLEMINGTON,600.0,0,0,1,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,"146 Ascot Vale Road, 
FLEMINGTON VIC 3031",-37.7871796,144.9214835,6.0,1.0,29.0,2.0,6.5,7.0,2,2,5812.0
2160,"1 Norwood Street, 
FLEMINGTON VIC 3031",FLEMINGTON,595.0,0,1,0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,"1 Norwood Street, 
FLEMINGTON VIC 3031",-37.7867698,144.92963667958563,5.0,0.0,28.0,1.0,5.4,5.0,2,1,1870.0
2161,"2 Bed 2 Bath/48 Cowper Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,600.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"48 Cowper Street, 
FOOTSCRAY VIC 3011",-37.798355,144.9053087,2.0,0.0,15.0,0.0,9.0,2.0,2,2,1870.0
2162,"1504C/2 Tannery Walk, 
FOOTSCRAY VIC 3011",FOOTSCRAY,600.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"2 Tannery Walk, 
FOOTSCRAY VIC 3011",-37.8001343,144.9065952,2.0,1.0,15.0,0.0,9.1,3.0,3,2,1087.0
2163,"601/8 Joseph Road, 
FOOTSCRAY VIC 3011",FOOTSCRAY,600.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"8 Joseph Road, 
FOOTSCRAY VIC 3011",-37.7982376,144.914181,0.0,0.0,11.0,0.0,9.4,0.0,2,2,1087.0
2164,"25 Dudley Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,595.0,0,1,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"25 Dudley Street, 
FOOTSCRAY VIC 3011",-37.7959021,144.8830232,0.0,0.0,18.0,0.0,10.8,0.0,3,1,1087.0
2165,"224 Buckley Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,600.0,0,0,1,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"224 Buckley Street, 
FOOTSCRAY VIC 3011",-37.8041299,144.8992413,3.0,0.0,15.0,0.0,9.8,3.0,2,2,3730.0
2166,"814/2 Joseph Road, 
FOOTSCRAY VIC 3011",FOOTSCRAY,600.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"2 Joseph Road, 
FOOTSCRAY VIC 3011",-37.8003238,144.9095079,0.0,0.0,11.0,0.0,8.8,0.0,2,2,1451.0
2167,"2/19 Inglis Avenue, 
FRANKSTON VIC 3199",FRANKSTON,595.0,0,0,1,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"19 Inglis Avenue, 
FRANKSTON VIC 3199",-38.1303191,145.1264441,0.0,0.0,10.0,0.0,64.3,0.0,3,2,2359.0
2168,"3 Swift Street, 
FRANKSTON VIC 3199",FRANKSTON,595.0,0,1,0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"3 Swift Street, 
FRANKSTON VIC 3199",-38.1375373,145.1358673,0.0,0.0,14.0,0.0,64.8,0.0,3,2,3905.0
2169,"113 109 Manningham St, 
PARKVILLE VIC 3052",PARKVILLE,595.0,1,0,0,7446.0,1838.9,26.8,6202.0,0.0,0.0,32.0,213.0,48.0,33.0,13.0,35.0,0.0,10.0,55.0,948.0,1811.0,396.0,1377.0,84.0,447.0,"113 109 Manningham St, 
PARKVILLE VIC 3052",-37.7884075,144.9431774,3.0,0.0,32.0,0.0,4.5,3.0,2,2,1371.0
2170,"1/26-28 Boldrewood Parade, 
RESERVOIR VIC 3073",RESERVOIR,595.0,0,1,0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,"26-28 Boldrewood Parade, 
RESERVOIR VIC 3073",-37.7176681,145.0216288,0.0,0.0,22.0,0.0,10.4,0.0,3,2,2941.0
2171,"303/75-77 Palmerston Crescent, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,595.0,1,0,0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,"75-77 Palmerston Crescent, 
SOUTH MELBOURNE VIC 3205",-37.834264,144.9698138,1.0,0.0,21.0,1.0,10.7,1.0,2,1,1693.0
2172,"336/183 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,595.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"183 City Road, 
SOUTHBANK VIC 3006",-37.82491275,144.962019914163,3.0,0.0,19.0,22.0,8.1,3.0,1,1,1693.0
2173,"326/20 Shamrock Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,600.0,1,0,0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,"20 Shamrock Street, 
ABBOTSFORD VIC 3067",-37.809994,145.0082499,5.0,0.0,34.0,0.0,7.5,5.0,2,2,1451.0
2174,"48 Withers Street, 
ALBERT PARK VIC 3206",ALBERT PARK,595.0,0,1,0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,"48 Withers Street, 
ALBERT PARK VIC 3206",-37.844558250000006,144.94886348296842,6.0,0.0,0.0,0.0,13.7,6.0,2,1,2185.0
2175,"2802/250 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,475.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"250 City Road, 
SOUTHBANK VIC 3006",-37.8229812,144.9633593,3.0,0.0,18.0,22.0,7.9,3.0,1,1,1932.0
2176,"404/144-150 Clarendon Street, 
SOUTHBANK VIC 3006",SOUTHBANK,475.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"144-150 Clarendon Street, 
SOUTHBANK VIC 3006",-37.8270516,144.9579229,9.0,0.0,16.0,9.0,12.5,9.0,1,1,2359.0
2177,"3102/250 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,475.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"250 City Road, 
SOUTHBANK VIC 3006",-37.8229812,144.9633593,3.0,0.0,18.0,22.0,7.9,3.0,1,1,2359.0
2178,"714/70 Dorcas Street, 
SOUTHBANK VIC 3006",SOUTHBANK,475.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"70 Dorcas Street, 
SOUTHBANK VIC 3006",-37.8306244,144.96747312152553,7.0,0.0,21.0,2.0,13.4,7.0,1,1,2502.0
2179,"1512/33 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,475.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"33 City Road, 
SOUTHBANK VIC 3006",-37.8229812,144.9633593,3.0,0.0,18.0,22.0,7.9,3.0,1,1,2502.0
2180,"2703/250 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,475.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"250 City Road, 
SOUTHBANK VIC 3006",-37.8229812,144.9633593,3.0,0.0,18.0,22.0,7.9,3.0,1,1,1432.0
2181,"402/10 Martin Street, 
ST KILDA VIC 3182",ST KILDA,475.0,1,0,0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,"10 Martin Street, 
ST KILDA VIC 3182",-37.8669396,144.9879879,15.0,1.0,30.0,0.0,18.4,16.0,1,1,1432.0
2182,"606/6 St Kilda Road, 
ST KILDA VIC 3182",ST KILDA,475.0,1,0,0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,"6 St Kilda Road, 
ST KILDA VIC 3182",-37.8566181,144.98359005676784,8.0,0.0,27.0,0.0,11.3,8.0,1,1,1432.0
2183,"3c/21 The Esplanade, 
ST KILDA VIC 3182",ST KILDA,475.0,1,0,0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,"21 The Esplanade, 
ST KILDA VIC 3182",-37.8671208,144.9772756,3.0,0.0,0.0,0.0,13.0,3.0,1,1,1432.0
2184,"44 Eloura Circuit, 
TAYLORS HILL VIC 3037",TAYLORS HILL,475.0,0,1,0,19800.0,3317.7,34.5,13247.0,0.0,0.0,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,0.0,400.0,707.0,82.0,333.0,"44 Eloura Circuit, 
TAYLORS HILL VIC 3037",-37.7119105,144.7508937,0.0,0.0,0.0,0.0,27.5,0.0,3,2,1432.0
2185,"16/14 May Rd, 
TOORAK VIC 3142",TOORAK,475.0,1,0,0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,"14 May Rd, 
TOORAK VIC 3142",-37.8473621,145.0051646,6.0,1.0,31.0,0.0,11.5,7.0,2,1,1432.0
2186,"11 Colachi Road, 
TRUGANINA VIC 3029",TRUGANINA,475.0,0,1,0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,"11 Colachi Road, 
TRUGANINA VIC 3029",-37.7603455,144.677483,0.0,0.0,0.0,0.0,42.5,0.0,3,2,1432.0
2187,"12/2 Thompson Street, 
WILLIAMSTOWN VIC 3016",WILLIAMSTOWN,475.0,1,0,0,16074.0,2188.0,45.0,10333.0,0.0,0.0,38.0,156.0,107.0,65.0,42.0,106.0,3.0,75.0,3629.0,2228.0,1183.0,450.0,1561.0,13.0,340.0,"2 Thompson Street, 
WILLIAMSTOWN VIC 3016",-37.8664536,144.9038038,0.0,1.0,8.0,0.0,17.5,1.0,2,2,1432.0
2188,"20 Birchwood Street, 
FAWKNER VIC 3060",FAWKNER,500.0,0,1,0,14193.0,2791.3,34.8,8969.0,0.0,0.0,36.0,63.0,14.0,63.0,17.0,47.0,6.0,26.0,4386.0,861.0,25.0,380.0,1410.0,69.0,460.0,"20 Birchwood Street, 
FAWKNER VIC 3060",-37.6928974,144.9653981,0.0,0.0,11.0,0.0,11.3,0.0,3,1,1432.0
2189,"1/42 Adelaide Street, 
ARMADALE VIC 3143",ARMADALE,480.0,1,0,0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,"42 Adelaide Street, 
ARMADALE VIC 3143",-37.8536429,145.02825,19.0,0.0,28.0,0.0,16.3,19.0,2,1,1432.0
2190,"1/188 O'Shanassy Street, 
SUNBURY VIC 3429",SUNBURY,470.0,0,1,0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,"188 O'Shanassy Street, 
SUNBURY VIC 3429",-37.5827777,144.7288042,0.0,0.0,0.0,0.0,37.8,0.0,3,3,1432.0
2191,"1/44 Barkly Street, 
SUNBURY VIC 3429",SUNBURY,470.0,0,0,1,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,"44 Barkly Street, 
SUNBURY VIC 3429",-37.5819236,144.7313716,0.0,0.0,0.0,0.0,38.1,0.0,2,2,1432.0
2192,"18/19 Overton Lea Boulevard, 
SYDENHAM VIC 3037",SYDENHAM,470.0,0,0,1,11866.0,3005.6,36.7,8264.0,0.0,0.0,40.0,39.0,18.0,63.0,9.0,29.0,6.0,12.0,2744.0,1356.0,104.0,366.0,1182.0,14.0,353.0,"19 Overton Lea Boulevard, 
SYDENHAM VIC 3037",-37.69571205,144.7670690563054,0.0,0.0,11.0,0.0,24.1,0.0,3,2,1432.0
2193,"13 Terracotta Avenue, 
TARNEIT VIC 3029",TARNEIT,470.0,0,1,0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,"13 Terracotta Avenue, 
TARNEIT VIC 3029",-37.8102411,144.6827625,0.0,0.0,0.0,0.0,39.2,0.0,4,2,1432.0
2194,"16 Tasman Court, 
TAYLORS HILL VIC 3037",TAYLORS HILL,470.0,0,1,0,19800.0,3317.7,34.5,13247.0,0.0,0.0,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,0.0,400.0,707.0,82.0,333.0,"16 Tasman Court, 
TAYLORS HILL VIC 3037",-37.7112232,144.7537778,0.0,0.0,0.0,0.0,26.6,0.0,4,1,1432.0
2195,"4/7-9 Pine Street, 
THOMASTOWN VIC 3074",THOMASTOWN,470.0,0,0,1,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,"7-9 Pine Street, 
THOMASTOWN VIC 3074",-37.6778916,145.0241268,0.0,0.0,25.0,0.0,14.5,0.0,2,1,3023.0
2196,"7/803 Malvern Road, 
TOORAK VIC 3142",TOORAK,470.0,0,1,0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,"803 Malvern Road, 
TOORAK VIC 3142",-37.8503052,145.0211162,10.0,0.0,41.0,0.0,13.0,10.0,1,1,3023.0
2197,"15 Elderwood Avenue, 
TRUGANINA VIC 3029",TRUGANINA,470.0,0,1,0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,"15 Elderwood Avenue, 
TRUGANINA VIC 3029",-37.8445029,144.7391967,0.0,0.0,7.0,0.0,35.0,0.0,3,2,3023.0
2198,"10 Petrolo Street, 
TRUGANINA VIC 3029",TRUGANINA,470.0,0,1,0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,"10 Petrolo Street, 
TRUGANINA VIC 3029",-37.7510709,144.6769417,0.0,0.0,0.0,0.0,41.5,0.0,4,2,2185.0
2199,"7 Amukta Road, 
TRUGANINA VIC 3029",TRUGANINA,470.0,0,1,0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,"7 Amukta Road, 
TRUGANINA VIC 3029",-37.7605671,144.6750961,0.0,0.0,0.0,0.0,42.9,0.0,3,2,1456.0
2200,"1/258 Melrose Drive, 
TULLAMARINE VIC 3043",TULLAMARINE,470.0,0,0,1,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,"258 Melrose Drive, 
TULLAMARINE VIC 3043",-37.7097261,144.8880001,0.0,0.0,0.0,0.0,14.7,0.0,3,2,1456.0
2201,"111/87 Mount Street, 
HEIDELBERG VIC 3084",HEIDELBERG,590.0,1,0,0,15038.0,2247.4,35.3,10669.0,0.0,0.0,139.0,118.0,35.0,77.0,18.0,49.0,6.0,77.0,4091.0,2466.0,472.0,353.0,2818.0,208.0,354.0,"87 Mount Street, 
HEIDELBERG VIC 3084",-37.7569025,145.0619713,0.0,1.0,18.0,0.0,14.7,1.0,2,2,1456.0
2202,"17 Osney Avenue, 
IVANHOE VIC 3079",IVANHOE,590.0,0,1,0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,"17 Osney Avenue, 
IVANHOE VIC 3079",-37.7584256,145.0408264,0.0,0.0,21.0,0.0,8.8,0.0,3,1,1932.0
