,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
149,14153.0,3084.7,40.4,9019.0,,,35.0,71.0,57.0,62.0,29.0,65.0,5.0,50.0,3929.0,749.0,932.0,490.0,1178.0,48.0,232.0,1281.0,Region summary_ Bentleigh East - South SA2 208021427.csv
150,9980.0,1916.0,37.4,7041.0,,,22.0,155.0,64.0,37.0,28.0,31.0,,223.0,1184.0,1876.0,1397.0,500.0,1557.0,7.0,313.0,1764.0,Region summary_ Clifton Hill - Alphington SA2 206071145.csv
151,12100.0,7869.9,35.3,10160.0,,,68.0,99.0,148.0,105.0,35.0,87.0,10.0,10.0,419.0,743.0,7346.0,381.0,3943.0,212.0,899.0,1460.0,Region summary_ St Kilda - Central SA2 206051513.csv
152,10125.0,7513.9,34.8,7880.0,,,34.0,140.0,117.0,72.0,24.0,148.0,3.0,30.0,763.0,1484.0,4251.0,395.0,2977.0,40.0,643.0,1619.0,Region summary_ South Yarra - South SA2 206061516.csv
153,9690.0,3298.2,34.0,6614.0,,,38.0,53.0,33.0,40.0,11.0,47.0,3.0,10.0,2789.0,335.0,31.0,400.0,908.0,13.0,261.0,1302.0,Region summary_ Point Cook - North West SA2 213051581.csv
154,14248.0,2533.1,36.8,9947.0,,,133.0,55.0,46.0,58.0,23.0,58.0,3.0,37.0,3549.0,2630.0,221.0,361.0,2290.0,149.0,629.0,1121.0,Region summary_ Reservoir - South West SA2 209021526.csv
155,7976.0,3389.3,35.8,5661.0,,,17.0,33.0,17.0,26.0,6.0,25.0,,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,1371.0,Region summary_ Oak Park SA2 210031537.csv
156,23731.0,335.0,29.8,16008.0,,,96.0,41.0,21.0,88.0,7.0,51.0,14.0,550.0,7380.0,134.0,,400.0,1501.0,66.0,414.0,1054.0,Region summary_ Mickleham - Yuroke SA2 210051445.csv
157,10832.0,17.3,40.6,6928.0,,,24.0,35.0,21.0,38.0,22.0,31.0,,45.0,4196.0,68.0,15.0,365.0,389.0,7.0,60.0,1131.0,Region summary_ Romsey SA2 210021235.csv
158,9532.0,544.1,30.3,6980.0,,,6.0,14.0,12.0,56.0,7.0,28.0,3.0,290.0,2729.0,5.0,,402.0,712.0,14.0,249.0,1225.0,Region summary_ Truganina - North SA2 213051586.csv
159,10554.0,1457.0,44.7,6372.0,,,14.0,42.0,26.0,42.0,17.0,25.0,4.0,11.0,3195.0,761.0,,450.0,397.0,16.0,105.0,1105.0,Region summary_ Dingley Village SA2 212041313.csv
160,28.0,3.1,53.5,24.0,,,0.0,5.0,44.0,37.0,9.0,21.0,3.0,,20.0,5.0,,504.0,5.0,3.0,,900.0,Region summary_ Braeside SA2 208031184.csv
161,11866.0,3005.6,36.7,8264.0,,,40.0,39.0,18.0,63.0,9.0,29.0,6.0,12.0,2744.0,1356.0,104.0,366.0,1182.0,14.0,353.0,1041.0,Region summary_ Sydenham SA2 213011339.csv
162,18779.0,1448.0,37.8,12275.0,,,57.0,52.0,47.0,112.0,11.0,53.0,12.0,19.0,5771.0,1022.0,250.0,346.0,1729.0,200.0,460.0,812.0,Region summary_ Sunshine West SA2 213011338.csv
163,22221.0,2936.7,38.2,14931.0,,,25.0,320.0,184.0,122.0,54.0,103.0,,105.0,4789.0,2224.0,2731.0,421.0,2540.0,205.0,746.0,1556.0,Region summary_ Malvern East SA2 208041195.csv
164,13185.0,3224.5,31.5,8699.0,,,35.0,52.0,23.0,66.0,12.0,38.0,3.0,97.0,3291.0,830.0,99.0,381.0,1258.0,22.0,281.0,934.0,Region summary_ Craigieburn - West SA2 210051543.csv
165,14330.0,2580.7,36.2,9790.0,,,46.0,91.0,60.0,77.0,25.0,65.0,10.0,5.0,4037.0,497.0,428.0,390.0,1132.0,7.0,282.0,1187.0,Region summary_ Point Cook - North East SA2 213051580.csv
