Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,June,4 Western, Mildura,"7,199","12,694.6"
2019,June,4 Western, Moorabool,"2,221","6,212.8"
2019,June,4 Western, Mount Alexander,"1,102","5,601.9"
2019,June,4 Western, Moyne,636,"3,746.2"
2019,June,4 Western, Northern Grampians,997,"8,524.3"
2019,June,4 Western, Pyrenees,638,"8,577.6"
2019,June,4 Western, Queenscliffe,136,"4,582.2"
2019,June,4 Western, Southern Grampians,"1,385","8,465.8"
2019,June,4 Western, Surf Coast,"1,176","3,442.2"
2019,June,4 Western, Swan Hill,"2,609","12,199.0"
2019,June,4 Western, Warrnambool,"3,882","11,072.4"
2019,June,4 Western, West Wimmera,179,"4,504.3"
2019,June,4 Western, Yarriambiack,406,"6,087.9"
2019,June,4 Western,Total,"84,469","8,299.1"
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,876",
2019,June,Justice Institutions and Immigration Facilities,Total,"2,876",
2019,June,Unincorporated Vic, Unincorporated Vic,149,
2019,June,Unincorporated Vic,Total,149,
2018,June,1 North West Metro, Banyule,"9,683","7,474.4"
2018,June,1 North West Metro, Brimbank,"18,425","8,907.5"
2018,June,1 North West Metro, Darebin,"14,679","9,349.7"
2018,June,1 North West Metro, Hobsons Bay,"6,028","6,339.9"
2018,June,1 North West Metro, Hume,"20,212","8,970.1"
2018,June,1 North West Metro, Maribyrnong,"8,296","9,341.5"
2018,June,1 North West Metro, Melbourne,"37,501","22,941.7"
2018,June,1 North West Metro, Melton,"10,774","6,868.9"
2018,June,1 North West Metro, Merri-bek,"13,676","7,702.1"
2018,June,1 North West Metro, Moonee Valley,"8,834","7,044.9"
2018,June,1 North West Metro, Nillumbik,"2,195","3,403.5"
2018,June,1 North West Metro, Whittlesea,"15,404","6,988.6"
2018,June,1 North West Metro, Wyndham,"14,038","5,467.4"
2018,June,1 North West Metro, Yarra,"13,787","14,445.7"
2018,June,1 North West Metro,Total,"193,532","8,947.4"
2018,June,2 Eastern, Alpine,500,"3,904.1"
2018,June,2 Eastern, Bass Coast,"2,170","6,020.9"
2018,June,2 Eastern, Baw Baw,"4,079","7,785.5"
2018,June,2 Eastern, Benalla,"1,308","9,247.1"
2018,June,2 Eastern, Boroondara,"6,852","3,821.6"
2018,June,2 Eastern, East Gippsland,"4,372","9,334.9"
2018,June,2 Eastern, Greater Shepparton,"8,352","12,507.7"
2018,June,2 Eastern, Indigo,410,"2,470.2"
2018,June,2 Eastern, Knox,"11,350","6,991.5"
2018,June,2 Eastern, Latrobe,"13,888","18,391.5"
2018,June,2 Eastern, Manningham,"4,708","3,766.5"
2018,June,2 Eastern, Mansfield,585,"6,399.0"
2018,June,2 Eastern, Maroondah,"7,955","6,797.2"
2018,June,2 Eastern, Mitchell,"4,400","9,885.0"
2018,June,2 Eastern, Moira,"1,979","6,622.9"
2018,June,2 Eastern, Monash,"10,728","5,420.3"
2018,June,2 Eastern, Murrindindi,731,"5,024.7"
