,School_Name,Address_Postcode,X,Y
1473,Copperfield College,3037,144.772426,-37.719463
1474,Bayside P-12 College,3016,144.8852138,-37.85770007
1475,South Oakleigh Secondary College,3167,145.089768,-37.92232068
1479,Essendon Keilor College,3033,144.8697108,-37.73970794
1480,Brunswick Secondary College,3056,144.95501,-37.770899
1481,Glen Waverley Secondary College,3150,145.162106,-37.878098
1482,Monterey Secondary College,3200,145.147724,-38.126124
1484,Viewbank College,3084,145.08659,-37.741196
1485,Noble Park Secondary College,3174,145.182369,-37.970209
1487,Yarra Hills Secondary College,3138,145.316184,-37.78934
1488,Heathmont College,3135,145.2321036,-37.83842619
1490,Melbourne Girls College,3121,145.014334,-37.822507
1493,Templestowe College,3107,145.122306,-37.767428
1502,McClelland Secondary College,3199,145.158453,-38.14632
1504,Western English Language School,3019,144.8540362,-37.790995
1511,Point Cook Senior Secondary College,3030,144.73282,-37.886718
1512,Manor Lakes P-12 College,3024,144.601853,-37.873507
1513,Coburg High School,3058,144.9728,-37.7407
1515,Mount Ridley P-12 College,3064,144.9231944,-37.58030966
1516,Tarneit Senior College,3029,144.6804061,-37.83335386
1519,Altona College,3018,144.818639,-37.861911
1520,Dandenong High School,3175,145.209011,-37.979418
1522,Laverton P-12 College,3028,144.7726329,-37.85617409
1523,Hume Central Secondary College,3047,144.915355,-37.680442
1526,Suzanne Cory High School,3030,144.700748,-37.893852
1527,Keysborough Secondary College,3172,145.159839,-37.967017
1535,Tarneit Rise Primary School,3029,144.665822,-37.836183
1541,Charles La Trobe P-12 College,3085,145.05865,-37.728966
1542,Victoria University Secondary College,3021,144.785626,-37.740102
1544,Glenroy Secondary College,3046,144.9249952,-37.70470214
1545,John Fawkner Secondary College,3060,144.9718587,-37.70271075
1546,William Ruthven Secondary College,3073,145.002774,-37.696666
1549,Featherbrook P-9 College,3030,144.7275192,-37.90163614
1554,Doveton College,3177,145.243173,-37.989449
1556,Brookside P-9 College,3023,144.737222,-37.746339
1557,Creekside K-9 College,3023,144.738037,-37.73445
1558,Lakeview Senior College,3023,144.740281,-37.731016
1559,Springside Primary School,3023,144.7386746,-37.71117852
1560,Melba Secondary College,3136,145.262016,-37.795523
1561,Boronia K-12 College,3155,145.293268,-37.8583
1562,Tarneit P-9 College,3029,144.679815,-37.837451
1564,Parkville College,3052,144.94736,-37.776815
1565,Wesley College,3004,144.982144,-37.84883
1566,Korowa Anglican Girls' School,3146,145.054637,-37.861454
1567,Parade College,3083,145.066978,-37.690178
1568,Simonds Catholic College,3003,144.952883,-37.805971
1569,St Mary’s College Melbourne,3183,144.997001,-37.859365
1576,Sacred Heart School,3015,144.881396,-37.840028
1577,St Mary's School,3016,144.900894,-37.863498
1578,Ruyton Girls' School,3101,145.039181,-37.811111
1579,Caulfield Grammar School,3183,145.004887,-37.877377
1580,St Michael's School,3051,144.946246,-37.793305
1582,Presentation College Windsor,3181,144.9947188,-37.85764134
1583,St Mary's School,3183,144.997592,-37.859021
1585,St Brendan's School,3031,144.931728,-37.784696
1591,St Joseph's School,3122,145.034315,-37.826461
1592,Sacre Coeur,3146,145.051572,-37.861753
1593,St Joseph's School,3070,144.996721,-37.774621
1594,Sacred Heart School,3072,145.003768,-37.744807
1613,Star of the Sea College,3186,144.99678,-37.896734
1614,St James' School,3186,144.997657,-37.897945
1615,St Peter's School,3165,145.070911,-37.923044
1616,Methodist Ladies' College,3101,145.038491,-37.813951
1625,Christ Church Grammar School,3141,144.985738,-37.838952
1626,St Paul's School,3058,144.967855,-37.738929
1627,St Andrew's School,3030,144.650573,-37.901272
1634,Fintona Girls' School,3103,145.080326,-37.815158
1636,Lauriston Girls' School,3143,145.025089,-37.852317
1638,Xavier College,3101,145.031105,-37.813858
